==14716== NVPROF is profiling process 14716, command: ./main
==14716== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==14716== Profiling application: ./main
==14716== Profiling result:
==14716== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",3.972887%,19.056586%,9.943423%
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",11.923920%,14.623953%,13.459375%
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"stall_memory_dependency","Issue Stall Reasons (Data Request)",34.330567%,42.064141%,38.530612%
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"stall_texture","Issue Stall Reasons (Texture)",0.000000%,0.000000%,0.000000%
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"stall_sync","Issue Stall Reasons (Synchronization)",0.000000%,0.000000%,0.000000%
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"stall_other","Issue Stall Reasons (Other)",2.613476%,3.826876%,3.176673%
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",30.422611%,37.649023%,34.623643%
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",0.076634%,0.093987%,0.086513%
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%,0.000000%
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"inst_fp_32","FP Instructions(Single)",3000,3000,3000
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"inst_fp_64","FP Instructions(Double)",0,0,0
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"inst_integer","Integer Instructions",42460,42576,42512
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"inst_bit_convert","Bit-Convert Instructions",0,0,0
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"inst_control","Control-Flow Instructions",3072,3072,3072
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"inst_compute_ld_st","Load/Store Instructions",7478,7536,7504
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"inst_misc","Misc Instructions",25794,25968,25872
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"inst_inter_thread_communication","Inter-Thread Instructions",0,0,0
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"issue_slots","Issue Slots",3128,3128,3128
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"cf_issued","Issued Control-Flow Instructions",284,284,284
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"cf_executed","Executed Control-Flow Instructions",284,284,284
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"ldst_issued","Issued Load/Store Instructions",1682,1696,1692
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"ldst_executed","Executed Load/Store Instructions",568,568,568
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"atomic_transactions_per_request","Atomic Transactions Per Request",0.000000,0.000000,0.000000
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"l2_atomic_throughput","L2 Throughput (Atomic requests)",0.000000B/s,0.000000B/s,0.000000B/s
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"l2_atomic_transactions","L2 Transactions (Atomic requests)",0,0,0
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"l2_tex_read_transactions","L2 Transactions (Texture Reads)",744,750,749
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"stall_memory_throttle","Issue Stall Reasons (Memory Throttle)",0.076634%,0.093987%,0.086513%
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"stall_not_selected","Issue Stall Reasons (Not Selected)",0.077675%,0.115066%,0.093248%
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"l2_tex_write_transactions","L2 Transactions (Texture Writes)",741,750,747
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"flop_count_hp_add","Floating Point Operations(Half Precision Add)",0,0,0
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"flop_count_hp_mul","Floating Point Operation(Half Precision Mul)",0,0,0
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"flop_count_hp_fma","Floating Point Operations(Half Precision FMA)",0,0,0
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"inst_fp_16","HP Instructions(Half)",0,0,0
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"sysmem_read_utilization","System Memory Read Utilization","Idle (0)","Idle (0)","Idle (0)"
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"sysmem_write_utilization","System Memory Write Utilization","Low (1)","Low (1)","Low (1)"
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"pcie_total_data_transmitted","PCIe Total Data Transmitted",0,512,256
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"pcie_total_data_received","PCIe Total Data Received",0,512,102
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"inst_executed_global_loads","Warp level instructions for global loads",188,188,188
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"inst_executed_local_loads","Warp level instructions for local loads",0,0,0
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"inst_executed_shared_loads","Warp level instructions for shared loads",0,0,0
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"inst_executed_surface_loads","Warp level instructions for surface loads",0,0,0
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"inst_executed_global_stores","Warp level instructions for global stores",188,188,188
"NVIDIA GeForce GTX 1080 Ti (0)","reluActivationBackprop(float*, float*, float*, int, int)",20,"inst_executed_local_stores","Warp level instructions for local stores",0,0,0
